VISITOR ARRIVALS BY COUNTRY OF RESIDENCE AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTH,  JANUARY,,,FEBRUARY,,,MARCH,,,TOT     Q1,,,APRIL,,,MAY,,,JUNE,,,  TOT      Q2,,,JULY,,,AUGUST,,,SEPTEMBER,,,  TOT      Q3,,,OCTOBER,,,NOVEMBER,,,DECEMBER,,,  TOT      Q4,,, ANNUAL, ANNUAL,  ANNUAL,,
COUNTRY,AIR,SEA, TOT, AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,    AIR,    SEA,TOTAL,,
 United Kingdom of Great Britain , 784 , 30 , 814 ," 1,293 ", 63 ," 1,356 "," 1,849 ", 21 ," 1,870 "," 3,926 ", 114 ," 4,040 "," 2,664 ", 34 ," 2,698 "," 2,129 ", 8 ," 2,137 "," 1,534 ", 13 ," 1,547 "," 6,327 ", 55 ," 6,382 "," 2,162 ", 5 ," 2,167 "," 1,770 ", 1 ," 1,771 "," 1,835 ", 8 ," 1,843 "," 5,767 ", 14 ," 5,781 "," 2,265 ", 1 ," 2,266 "," 1,661 ", -   ," 1,661 "," 1,411 ", 42 ," 1,453 "," 5,337 ", 43 ," 5,380 "," 21,357 ", 226 ," 21,583 ",,
 Albania , 6 , -   , 6 , 3 , -   , 3 , 4 , -   , 4 , 13 , -   , 13 , 3 , -   , 3 , 16 , -   , 16 , 4 , -   , 4 , 23 , -   , 23 , 2 , -   , 2 , 12 , -   , 12 , 2 , -   , 2 , 16 , -   , 16 , 7 , -   , 7 , 7 , -   , 7 , 4 , -   , 4 , 18 , -   , 18 , 70 , -   , 70 ,,
 Andorra , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , 9 , -   , 9 , 11 , -   , 11 , -   , -   , -   , 20 , -   , 20 , 1 , -   , 1 , 4 , -   , 4 , 9 , -   , 9 , 14 , -   , 14 , 5 , -   , 5 , 1 , -   , 1 , 9 , -   , 9 , 15 , -   , 15 , 52 , -   , 52 ,,
 Bosnia & Herzegovina , 1 , -   , 1 , 7 , -   , 7 , 13 , -   , 13 , 21 , -   , 21 , 9 , -   , 9 , 10 , -   , 10 , 9 , -   , 9 , 28 , -   , 28 , 20 , -   , 20 , 16 , -   , 16 , 2 , -   , 2 , 38 , -   , 38 , 6 , 1 , 7 , 15 , -   , 15 , 2 , -   , 2 , 23 , 1 , 24 , 110 , 1 , 111 ,,
 Croatia , 38 , -   , 38 , 74 , 5 , 79 , 76 , 2 , 78 , 188 , 7 , 195 , 58 , 10 , 68 , 33 , -   , 33 , 45 , -   , 45 , 136 , 10 , 146 , 55 , 2 , 57 , 41 , -   , 41 , 56 , 1 , 57 , 152 , 3 , 155 , 43 , -   , 43 , 55 , -   , 55 , 33 , 6 , 39 , 131 , 6 , 137 , 607 , 26 , 633 ,,
 Gibraltar , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 5 , -   , 5 , 2 , -   , 2 , 2 , -   , 2 , 9 , -   , 9 , 13 , -   , 13 ,,
 Greece , 63 , -   , 63 , 61 , 1 , 62 , 37 , -   , 37 , 161 , 1 , 162 , 97 , -   , 97 , 31 , -   , 31 , 63 , -   , 63 , 191 , -   , 191 , 49 , -   , 49 , 238 , -   , 238 , 59 , -   , 59 , 346 , -   , 346 , 59 , -   , 59 , 84 , -   , 84 , 81 , 12 , 93 , 224 , 12 , 236 , 922 , 13 , 935 ,,
 Holy See (Vatican City) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 ,,
 Italy , 521 , 1 , 522 , 739 , 10 , 749 ," 1,136 ", 1 ," 1,137 "," 2,396 ", 12 ," 2,408 "," 2,307 ", 6 ," 2,313 "," 1,224 ", -   ," 1,224 "," 1,374 ", -   ," 1,374 "," 4,905 ", 6 ," 4,911 "," 1,563 ", -   ," 1,563 "," 3,564 ", -   ," 3,564 "," 1,517 ", -   ," 1,517 "," 6,644 ", -   ," 6,644 "," 1,672 ", 3 ," 1,675 "," 1,234 ", -   ," 1,234 "," 1,516 ", 6 ," 1,522 "," 4,422 ", 9 ," 4,431 "," 18,367 ", 27 ," 18,394 ",,
 Kosovo , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 ,,
 Malta , 8 , -   , 8 , 2 , -   , 2 , 17 , -   , 17 , 27 , -   , 27 , 19 , -   , 19 , 10 , -   , 10 , 11 , -   , 11 , 40 , -   , 40 , 11 , -   , 11 , 11 , -   , 11 , 19 , -   , 19 , 41 , -   , 41 , 31 , -   , 31 , 19 , -   , 19 , 36 , -   , 36 , 86 , -   , 86 , 194 , -   , 194 ,,
 Marcedonia , 22 , -   , 22 , 12 , -   , 12 , 15 , -   , 15 , 49 , -   , 49 , 27 , -   , 27 , 17 , -   , 17 , 24 , -   , 24 , 68 , -   , 68 , 17 , -   , 17 , 30 , -   , 30 , 24 , -   , 24 , 71 , -   , 71 , 5 , -   , 5 , 37 , -   , 37 , 19 , -   , 19 , 61 , -   , 61 , 249 , -   , 249 ,,
 Montenegro , 7 , -   , 7 , 5 , -   , 5 , 4 , -   , 4 , 16 , -   , 16 , 3 , -   , 3 , 3 , -   , 3 , 5 , -   , 5 , 11 , -   , 11 , 1 , -   , 1 , 6 , -   , 6 , -   , -   , -   , 7 , -   , 7 , 8 , -   , 8 , 3 , -   , 3 , -   , -   , -   , 11 , -   , 11 , 45 , -   , 45 ,,
